producto,suscripcion,stock,descripcion,precio_unidad,pack_1,precio_1,pack_2,precio_2,categoria,url_foto
SPOTIFY PREMIUM,12 MESES,SI,"Musica sin publicidad, en alta definiciÃ³n",15,5 UNIDADES,60,12 UNIDADES,120,STREAMING,https://i.postimg.cc/j5wGcBpv/spotify.png
YOUTUBE PREMIUM,12 MESES,SI,"Videos sin publicidad, incluye youtube music",20,5 UNIDADES,80,10 UNIDADES,150,STREAMING,https://i.postimg.cc/k40mK7p7/Youtube.png
PANEL CANVA 50 USER,12 MESES,SI,Panel de canva para 50 usuarios,18,5 UNIDADES,60,10 UNIDADES,105,DISEÃ‘O,https://i.postimg.cc/xTPwTGnf/42.png
PANEL CANVA 500 USER,12 MESES,SI,Panel de canva para 500 usuarios,20,5 UNIDADES,90,12 UNIDADES,168,DISEÃ‘O,https://i.postimg.cc/xTPwTGnf/42.png
INVITACION CANVA EQUIPO,12 MESES,SI,InvitaciÃ³n para ser parte de 1 equipo,2,5 UNIDADES,10,50 UNIDADES,60,DISEÃ‘O,https://i.postimg.cc/gcV5NywV/canva-pro-price-in-bd-1048x855.jpg
OFFICE 365 A1 PLUS,12 MESES,SI,Office 365 completo con 100 GB almacenamiento ONEDRIVE.,7,5 UNIDADES,25,50 UNIDADES,175,SOFTWARE,https://i.postimg.cc/MGJVPBfB/A1-plus.png
OFFICE 365 E5 ENTERPRISE,12 MESES,SI,Office 365 completo con 5 TB almacenamiento onedrive,25,5 UNIDADES,100,25 UNIDADES,250,SOFTWARE,https://i.postimg.cc/9fHgdrW8/e5.jpg
AUTODESK EDU,12 MESES,SI,Los mejores programas para ingenieria,6,5 UNIDADES,25,25 UNIDADES,75,SOFTWARE,https://i.postimg.cc/G23gHVQq/autodesk.jpg
ZOOM EDU,6 MESES,SI,"300 PARTICIPANTES, GRABAR LA CONFERENCIA, PIZARRA INTERACTIVA, FUNCIONA SOLO PC",16,5 UNIDADES,70,10 UNIDADES,110,SOFTWARE,https://i.postimg.cc/Fsg4k5gQ/zoom-edu.png
GITHUB DEVELOPER PACK,NO APLICA,SI,Pack completo para desarrolladores,20,5 UNIDADES,80,10 UNIDADES,120,PROGRAMADOR,https://i.postimg.cc/t4CzdWP4/github.png
ESET INTERNET SECURITY,12 MESES,SI,"Antivirus de alta gama, protecciÃ³n asegurada",6,5 UNIDADES,25,10 UNIDADES,40,ANTIVIRUS,https://i.postimg.cc/KYWQ8j1v/eset.jpg
GOOGLE WORKSPACE 2 TB,12 MESES,SI,Almacenamiento sin limites. Se entrega cuenta nueva,12,5 UNIDADES,50,10 UNIDADES,100,ALMACENAMIENTO,https://i.postimg.cc/50YSCTkr/Chat-GPT-Image-16-abr-2025-12-14-53-p-m.png
JETBRAINS EDU,12 MESES,SI,Pack desarrollador completo,6,5 UNIDADES,25,25 UNIDADES,75,SOFTWARE,https://i.postimg.cc/y6DxRdkC/jetbrains.png
FIGMA EDU,12 MESES,SI,Haz tus mejores diseÃ±os realidad,6,5 UNIDADES,25,25 UNIDADES,75,SOFTWARE,https://i.postimg.cc/cCRchcXr/figma.png
WINDOWS 11 PRO RETAIL,PERMANENTE,SI,Licencia original retail. Garantia de activacion,7,5 UNIDADES,25,25 UNIDADES,100,SOFTWARE,https://i.postimg.cc/cJJ0N93G/win11.png
CCLEANER PRO,12 MESES,SI,Limpia a fondo tu PC,8,5 UNIDADES,35,25 UNIDADES,150,SOFTWARE,https://i.postimg.cc/25G2RTDv/ccleaner.png
GOMONEY BANK,NO APLICA,SI,BANCA DE NIGERIA,50,5 UNIDADES,200,10 UNIDADES,400,BANCOS,https://i.postimg.cc/x1wcjS0V/go-money.png
KUDA BANK,NO APLICA,NO,BANCA DE NIGERIA,50,5 UNIDADES,200,10 UNIDADES,400,BANCOS,https://i.postimg.cc/YSrTWv26/Chat-GPT-Image-18-abr-2025-08-38-36-p-m.png
NETFLIX,1 MES,SI,Las mejores series y peliculas,10,5 UNIDADES,45,10 UNIDADES,80,STREAMING,https://i.postimg.cc/YqP5Tr3k/73f68aaa-ea3e-4fc0-a3de-bcdf369e77d5.jpg
NETFLIX,6 MESES,SI,Las mejores series y peliculas,48,NO APLICA,0,NO APLICA,0,STREAMING,https://i.postimg.cc/YqP5Tr3k/73f68aaa-ea3e-4fc0-a3de-bcdf369e77d5.jpg
PRIMEVIDEO,1 MES,SI,Lo mejor en series antiguas,"3,5",5 UNIDADES,15,10 UNIDADES,22,STREAMING,https://i.postimg.cc/Dwb9T9jG/111.png
PRIMEVIDEO,6 MESES,SI,Lo mejor en series antiguas,18,NO APLICA,0,NO APLICA,0,STREAMING,https://i.postimg.cc/Dwb9T9jG/111.png
HBO MAX STANDAR,1 MES,SI,Disfruta de entretenimiento sin limites,3,5 UNIDADES,15,10 UNIDADES,25,STREAMING,https://i.postimg.cc/sgrgb4K3/max.png
DISNEY PLUS,1 MES,SI,Para ver en familia,6,5 UNIDADES,25,10 UNIDADES,35,STREAMING,https://i.postimg.cc/L8Tb2mkn/disney.jpg
DISNEY PLUS,6 MESES,SI,Para ver en familia,30,NO APLICA,0,NO APLICA,0,STREAMING,https://i.postimg.cc/L8Tb2mkn/disney.jpg
VIX PREMIUM,1 MES,SI,Las mejores series y peliculas mexicanas,2,5 UNIDADES,"7,5",12 UNIDADES,10,STREAMING,https://i.postimg.cc/pT42Cfpb/vix.png
ADOBE CREATIVE CLOUD,1 MES,NO,Suite completa de diseÃ±o,10,NO APLICA,0,NO APLICA,0,EDUCACION,https://i.postimg.cc/VN8Vcdby/adobe.png
DUOLINGO PANEL SCHOOL,12 MESES,NO,Aprende idiomas y haz tu negocio,8,5 UNIDADES,30,10 UNIDADES,40,EDUCACION,https://i.postimg.cc/pXMGjmqm/duolingo.jpg
